EventID,Timestamp,Time,Direction,Coord1,Coord2,Direction2,Coord3,Coord4
26489,345634319,1732262923.363163,'Left',61.581062797417005,-160.369095,,,
26490,345642709,1732262923.371215,'Left',64.70967940982234,-159.05426,,,
26491,345650992,1732262923.37954,'Left',66.81827783732771,-157.420639,,,
26492,345659503,1732262923.388847,'Left',68.75754867730812,-155.736145,,,
26493,345668046,1732262923.39695,'Left',71.75381957492905,-154.216522,,,
26494,345676473,1732262923.405072,'Left',74.75824878946177,-152.005493,,,
26495,345684908,1732262923.413935,'Left',79.36488814433856,-149.675995,,,
26496,345693032,1732262923.421561,'Left',84.3877917671323,-147.315842,,,
26497,345701544,1732262923.430161,'Left',88.6881976440809,-145.118195,,,
26498,345710117,1732262923.439007,'Left',92.6419067852197,-142.940384,,,
26499,345718511,1732262923.447791,'Left',98.15674221052642,-141.146439,,,
26500,345726900,1732262923.457944,'Left',103.57316805436095,-139.694519,,,
26501,345735166,1732262923.463297,'Left',109.3528984828968,-138.3302,,,
26502,345743410,1732262923.472815,'Left',114.49242313460374,-136.788544,,,
26503,345751871,1732262923.480319,'Left',119.2891962341251,-135.080566,,,
26504,345760257,1732262923.488526,'Left',124.31738842865761,-133.671021,,,
26505,345768521,1732262923.496928,'Left',129.24548180656066,-132.322372,,,
26506,345777502,1732262923.508192,'Left',132.57653947300489,-131.009094,,,
26507,345785622,1732262923.514243,'Left',136.7545548058253,-129.694992,,,
26508,345793632,1732262923.523332,'Left',140.25807249701336,-128.212997,,,
26509,345801989,1732262923.531258,'Left',143.05789106270265,-126.852386,,,
26510,345810457,1732262923.538577,'Left',145.94552656433578,-125.668854,,,
26511,345819055,1732262923.547624,'Left',147.40630139221852,-124.726135,,,
26512,345827164,1732262923.55546,'Left',149.93527590726345,-123.710098,,,
26513,345835434,1732262923.563939,'Left',152.03612256659994,-122.823334,,,
26514,345844235,1732262923.575169,'Left',153.8392773464343,-122.159912,,,
26515,345852525,1732262923.582011,'Left',155.2975936730454,-121.592804,,,
26516,345860936,1732262923.589435,'Left',156.86285907013166,-121.017746,,,
